source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[dia method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]
iPSC_SC_12	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=hiPSC cell;AC=BTO:0006081	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	iPSC_SC_12	1	12	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=hiPSC cell;AC=BTO:0006081
iPSC_20cellpool_1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=hiPSC cell;AC=BTO:0006081	NT=normal;AC=PATO:0000461	not available	not available	hi12	pooled	cellenONE	iPSC_20cellpool_1	20	1	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_20Cellc_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=hiPSC cell;AC=BTO:0006081
iPSC_20cellpool_2	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=hiPSC cell;AC=BTO:0006081	NT=normal;AC=PATO:0000461	not available	not available	hi12	pooled	cellenONE	iPSC_20cellpool_2	20	2	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_20Cellc_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=hiPSC cell;AC=BTO:0006081
iPSC_20cellpool_3	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=hiPSC cell;AC=BTO:0006081	NT=normal;AC=PATO:0000461	not available	not available	hi12	pooled	cellenONE	iPSC_20cellpool_3	20	3	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_20Cellc_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=hiPSC cell;AC=BTO:0006081
EB_SC_1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_1	1	1	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_2	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_2	1	2	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_3	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_3	1	3	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_4	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_4	1	4	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_5	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_5	1	5	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_6	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_6	1	6	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_7	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_7	1	7	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_8	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_8	1	8	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_9	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_9	1	9	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_10	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_10	1	10	run 25	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_11	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_11	1	11	run 26	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
EB_SC_12	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=embryoid body;AC=BTO:0001718	NT=normal;AC=PATO:0000461	not available	not available	hi12	single cell	cellenONE	EB_SC_12	1	12	run 27	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	not available	20231207	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=embryoid body;AC=BTO:0001718
