source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[phenotype]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
oocytes_SP3_5cells	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=oocyte;AC=CL:0000023	not available	not available	female	not available	not available	cell	NT=pooled;AC=PRIDE:0000902	pooled	manual picking	not applicable	5	1	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	140611_SP3_cell_number_titration	1	1	140611SL_5oocytes.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	not available
oocytes_SP3_10cells	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=oocyte;AC=CL:0000023	not available	not available	female	not available	not available	cell	NT=pooled;AC=PRIDE:0000902	pooled	manual picking	not applicable	10	1	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	140611_SP3_cell_number_titration	1	1	140611SL_10oocytes.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	not available
GV3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	germinal vesicle stage oocyte	cell	NT=single cell;AC=PRIDE:0000897	not pooled	manual picking	GV3	1	1	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	140818_single_oocyte_SP3	1	1	140818SL_GV3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	germinal vesicle stage oocyte
GV4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	germinal vesicle stage oocyte	cell	NT=single cell;AC=PRIDE:0000897	not pooled	manual picking	GV4	1	2	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	140818_single_oocyte_SP3	1	1	140818SL_GV4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	germinal vesicle stage oocyte
GV5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	germinal vesicle stage oocyte	cell	NT=single cell;AC=PRIDE:0000897	not pooled	manual picking	GV5	1	3	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	140818_single_oocyte_SP3	1	1	140818SL_GV5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	germinal vesicle stage oocyte
MII3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	metaphase II oocyte	cell	NT=single cell;AC=PRIDE:0000897	not pooled	manual picking	MII3	1	1	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	140818_single_oocyte_SP3	1	1	140818SL_MII3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	metaphase II oocyte
MII4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	metaphase II oocyte	cell	NT=single cell;AC=PRIDE:0000897	not pooled	manual picking	MII4	1	2	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	140818_single_oocyte_SP3	1	1	140818SL_MII4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	metaphase II oocyte
MII5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	metaphase II oocyte	cell	NT=single cell;AC=PRIDE:0000897	not pooled	manual picking	MII5	1	3	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	140818_single_oocyte_SP3	1	1	140818SL_MII5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	metaphase II oocyte
dimethyl_GV_rep1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	germinal vesicle stage oocyte	cell	NT=pooled;AC=PRIDE:0000902	pooled	manual picking	not applicable	10	1	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	141030_dimethyl_duplex_SP3	1	1	141030SL_GV-MII_10-Oocytes_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	germinal vesicle stage oocyte
dimethyl_MII_rep1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	metaphase II oocyte	cell	NT=pooled;AC=PRIDE:0000902	pooled	manual picking	not applicable	10	1	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	141030_dimethyl_duplex_SP3	1	1	141030SL_GV-MII_10-Oocytes_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	metaphase II oocyte
dimethyl_GV_rep2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	germinal vesicle stage oocyte	cell	NT=pooled;AC=PRIDE:0000902	pooled	manual picking	not applicable	10	2	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	141030_dimethyl_duplex_SP3	1	1	141030SL_GV-MII_10-Oocytes_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	germinal vesicle stage oocyte
dimethyl_MII_rep2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	metaphase II oocyte	cell	NT=pooled;AC=PRIDE:0000902	pooled	manual picking	not applicable	10	2	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	141030_dimethyl_duplex_SP3	1	1	141030SL_GV-MII_10-Oocytes_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	metaphase II oocyte
dimethyl_GV_rep3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	germinal vesicle stage oocyte	cell	NT=pooled;AC=PRIDE:0000902	pooled	manual picking	not applicable	10	3	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	141030_dimethyl_duplex_SP3	1	1	141030SL_GV-MII_10-Oocytes_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	germinal vesicle stage oocyte
dimethyl_MII_rep3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	metaphase II oocyte	cell	NT=pooled;AC=PRIDE:0000902	pooled	manual picking	not applicable	10	3	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	141030_dimethyl_duplex_SP3	1	1	141030SL_GV-MII_10-Oocytes_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	metaphase II oocyte
