source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[culture medium]	characteristics[treatment]	characteristics[sampling time]	characteristics[cell viability]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[sample preparation batch]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sampling time]
A549_MTX_12h_R2_TMT127N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R2_TMT127N	1	not pooled	10	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127N;AC=PRIDE:0000519	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R2	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour
A549_MTX_12h_R2_TMT127C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Methotrexate;AC=NCIT:C642	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R2_TMT127C	1	not pooled	11	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127C;AC=PRIDE:0000518	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R2	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Methotrexate;AC=NCIT:C642	12 hour
A549_MTX_12h_R2_TMT128N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R2_TMT128N	1	not pooled	12	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128N;AC=PRIDE:0000522	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R2	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour
A549_MTX_12h_R2_TMT128C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Methotrexate;AC=NCIT:C642	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R2_TMT128C	1	not pooled	13	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128C;AC=PRIDE:0000521	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R2	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Methotrexate;AC=NCIT:C642	12 hour
A549_MTX_12h_R2_TMT129N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R2_TMT129N	1	not pooled	14	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129N;AC=PRIDE:0000525	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R2	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour
A549_MTX_12h_R2_TMT129C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Methotrexate;AC=NCIT:C642	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R2_TMT129C	1	not pooled	15	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129C;AC=PRIDE:0000524	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R2	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Methotrexate;AC=NCIT:C642	12 hour
A549_MTX_12h_R2_TMT130C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R2_TMT130C	1	not pooled	16	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT130C;AC=PRIDE:0000527	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R2	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour
A549_MTX_12h_R2_CP_131	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not applicable	12 hour	live	NT=carrier;AC=PRIDE:0000901	FACS	carrier	200	pooled	pooled	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT131;AC=PRIDE:0000529	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R2	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable	12 hour
A549_MTX_12h_R3_TMT126	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R3_TMT126	1	not pooled	17	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT126;AC=PRIDE:0000516	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R3	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour
A549_MTX_12h_R3_TMT127N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Methotrexate;AC=NCIT:C642	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R3_TMT127N	1	not pooled	18	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127N;AC=PRIDE:0000519	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R3	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Methotrexate;AC=NCIT:C642	12 hour
A549_MTX_12h_R3_TMT127C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R3_TMT127C	1	not pooled	19	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127C;AC=PRIDE:0000518	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R3	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour
A549_MTX_12h_R3_TMT128N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Methotrexate;AC=NCIT:C642	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R3_TMT128N	1	not pooled	20	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128N;AC=PRIDE:0000522	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R3	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Methotrexate;AC=NCIT:C642	12 hour
A549_MTX_12h_R3_TMT128C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R3_TMT128C	1	not pooled	21	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128C;AC=PRIDE:0000521	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R3	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour
A549_MTX_12h_R3_TMT129N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Methotrexate;AC=NCIT:C642	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R3_TMT129N	1	not pooled	22	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129N;AC=PRIDE:0000525	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R3	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Methotrexate;AC=NCIT:C642	12 hour
A549_MTX_12h_R3_TMT129C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R3_TMT129C	1	not pooled	23	run 25	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129C;AC=PRIDE:0000524	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R3	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	12 hour
A549_MTX_12h_R3_TMT130C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Methotrexate;AC=NCIT:C642	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R3_TMT130C	1	not pooled	24	run 26	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT130C;AC=PRIDE:0000527	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R3	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Methotrexate;AC=NCIT:C642	12 hour
A549_MTX_12h_R3_CP_131	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not applicable	12 hour	live	NT=carrier;AC=PRIDE:0000901	FACS	carrier	200	pooled	pooled	run 27	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT131;AC=PRIDE:0000529	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R3	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable	12 hour
A549_MTX_12h_R4_TMT126	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Methotrexate;AC=NCIT:C642	12 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_MTX_12h_R4_TMT126	1	not pooled	25	run 28	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT126;AC=PRIDE:0000516	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	MTX_12h_R4	2020-09-10	1	1	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Methotrexate;AC=NCIT:C642	12 hour
