source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms min mz]	comment[ms max mz]	comment[ms min im]	comment[ms max im]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cells per well]
TCell_peptides_156pg	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 11	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.6	1.6	1	3	TCell_Con7_156pg_NE_25_50_150ms_R1_Slot2-19_1_838.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_156pg	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 12	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.6	1.6	1	4	TCell_Con7_156pg_NE_25_50_100ms_R1_Slot2-19_1_839.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_156pg	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 13	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.6	1.6	1	5	TCell_Con7_156pg_NE_25_50_50ms_R1_Slot2-19_1_840.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_156pg	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 14	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.7	1.3	1	6	TCell_Con7_156pg_NE_25_50_180ms_IMmod_R1_Slot2-19_1_925.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_156pg	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 15	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.7	1.3	1	7	TCell_Con7_156pg_NE_25_50_180ms_IMmod_R2_Slot2-19_1_926.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_156pg	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 16	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.7	1.3	1	8	TCell_Con7_156pg_NE_25_50_180ms_IMmod_R3_Slot2-19_1_927.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_1ng	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 17	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.6	1.6	1	1	TCell_Con4_1ng_NE_25_50_200ms_R1_Slot2-22_1_857.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_1ng	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 18	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.6	1.6	1	2	TCell_Con4_1ng_NE_25_50_180ms_R1_Slot2-22_1_858.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_1ng	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 19	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.6	1.6	1	3	TCell_Con4_1ng_NE_25_50_150ms_R1_Slot2-22_1_859.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_1ng	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 20	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.6	1.6	1	4	TCell_Con4_1ng_NE_25_50_100ms_R1_Slot2-22_1_860.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_1ng	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 21	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.6	1.6	1	5	TCell_Con4_1ng_NE_25_50_50ms_R1_Slot2-22_1_861.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
TCell_peptides_1ng	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood;AC=UBERON:0000178	NT=T cell;AC=CL:0000084	NT=normal;AC=PATO:0000461	cell	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	1	run 22	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 eV;59 eV	20 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	100m/z	1700m/z	0.7	1.3	1	6	TCell_Con4_1ng_NE_25_50_180ms_IMmod_R4_Slot2-22_1_941.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
