source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[enrichment marker]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]
HEK293_temp_0p2_37C_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_temp_0p2_37C_4	1	not applicable	4	run 11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_I12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_temp_0p2_37C_5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_temp_0p2_37C_5	1	not applicable	5	run 12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_I13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_temp_0p2_37C_6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_temp_0p2_37C_6	1	not applicable	6	run 13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_I14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_temp_0p2_37C_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_temp_0p2_37C_1	1	not applicable	1	run 14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_I9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_vol_0p5_37C_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_vol_0p5_37C_2	1	not applicable	2	run 15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_F10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_vol_0p5_37C_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_vol_0p5_37C_3	1	not applicable	3	run 16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_F11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_vol_0p5_37C_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_vol_0p5_37C_4	1	not applicable	4	run 17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_F12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_vol_0p5_37C_5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_vol_0p5_37C_5	1	not applicable	5	run 18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_F13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_vol_0p5_37C_6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_vol_0p5_37C_6	1	not applicable	6	run 19	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_F14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_vol_0p5_37C_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_vol_0p5_37C_1	1	not applicable	1	run 20	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_F9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_vol_0p3_37C_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_vol_0p3_37C_2	1	not applicable	2	run 21	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_G10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
HEK293_vol_0p3_37C_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	NT=HEK293;AC=CLO:0001230	CVCL_0045	HEK293	normal	cell	NT=single cell;AC=PRIDE:0000897	not applicable	not available	female	not applicable	FACS	HEK293_vol_0p3_37C_3	1	not applicable	3	run 22	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	400	800	20	1	1	20241211_1cell_IO15-11_DIA_24min_20Th-40ms_plate1_G11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epithelial cell;AC=CL:0000066
