source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[biorepository]	characteristics[culture medium]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[treatment]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[nanopots chip version]	comment[sample preparation batch]	comment[carrier channel]	comment[reference channel]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[sample preparation batch]	factor value[nanopots chip version]
HeLa_single_cell_chip3_A4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip3_A4	1	not applicable	not pooled	11	3_TrypsinLysConly_3A4_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease only	not applicable	not applicable	1	1	3_TrypsinLysConly_3A4_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease only	glass nanowell chip
HeLa_single_cell_chip3_A5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip3_A5	1	not applicable	not pooled	12	3_TrypsinLysConly_3A5_channel1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease only	not applicable	not applicable	1	1	3_TrypsinLysConly_3A5_channel1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease only	glass nanowell chip
HeLa_single_cell_chip3_B4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip3_B4	1	not applicable	not pooled	13	3_TrypsinLysConly_3B4_channel1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease only	not applicable	not applicable	1	1	3_TrypsinLysConly_3B4_channel1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease only	glass nanowell chip
HeLa_single_cell_chip3_B5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip3_B5	1	not applicable	not pooled	14	3_TrypsinLysConly_3B5_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease only	not applicable	not applicable	1	1	3_TrypsinLysConly_3B5_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease only	glass nanowell chip
HeLa_single_cell_chip3_C5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip3_C5	1	not applicable	not pooled	15	3_TrypsinLysConly_3C5_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease only	not applicable	not applicable	1	1	3_TrypsinLysConly_3C5_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease only	glass nanowell chip
HeLa_single_cell_chip1_A6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip1_A6	1	not applicable	not pooled	1	DDM_only_1stepmix_1A6_channel1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	DDM_only_1stepmix_1A6_channel1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip1_A7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip1_A7	1	not applicable	not pooled	2	DDM_only_1stepmix_1A7_channel1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	DDM_only_1stepmix_1A7_channel1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip1_B6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip1_B6	1	not applicable	not pooled	3	DDM_only_1stepmix_1B6_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	DDM_only_1stepmix_1B6_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip1_B7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip1_B7	1	not applicable	not pooled	4	DDM_only_1stepmix_1B7_channel1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	DDM_only_1stepmix_1B7_channel1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip1_B8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip1_B8	1	not applicable	not pooled	5	1DDM_only_1stepmix_1B8_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	1DDM_only_1stepmix_1B8_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip1_C7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip1_C7	1	not applicable	not pooled	6	DDM_only_1stepmix_1C7_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	DDM_only_1stepmix_1C7_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip2_A7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip2_A7	1	not applicable	not pooled	7	2DDM_only_1stepmix_2A7_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	2DDM_only_1stepmix_2A7_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip2_B6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip2_B6	1	not applicable	not pooled	8	DDM_only_1stepmix_2B6_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	DDM_only_1stepmix_2B6_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip2_B7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip2_B7	1	not applicable	not pooled	9	2DDM_only_1stepmix_2B7_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	2DDM_only_1stepmix_2B7_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip2_C7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip2_C7	1	not applicable	not pooled	10	DDM_only_1stepmix_2C7_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	DDM_only_1stepmix_2C7_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip3_A6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip3_A6	1	not applicable	not pooled	11	3_DDM_only_3A6_channel1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	3_DDM_only_3A6_channel1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
HeLa_single_cell_chip3_A7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=uterine cervix;AC=UBERON:0000002	American Type Culture Collection	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	-80 °C	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	cellenONE	chip3_A7	1	not applicable	not pooled	12	3_DDM_only_3A7_channel2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	375 m/z	1575 m/z	glass nanowell chip	one-step Protease+DDM	not applicable	not applicable	1	1	3_DDM_only_3A7_channel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	one-step Protease+DDM	glass nanowell chip
