source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[culture medium]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[treatment]	characteristics[cell cycle phase]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[fixation]	factor value[storage condition]
HeLa_OneTip1000_2pc_DMSO_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	3	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_2PC-FA_DMSO_3.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	2% formaldehyde	not applicable
HeLa_OneTip1000_2pc_DMSO_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	4	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_2PC-FA_DMSO_4.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	2% formaldehyde	not applicable
HeLa_OneTip1000_2pc_MTX_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Methotrexate;AC=NCIT:C642	not determined	not applicable	not applicable	not applicable	not applicable	1	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_2PC-FA_MTX_1.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	2% formaldehyde	not applicable
HeLa_OneTip1000_2pc_MTX_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Methotrexate;AC=NCIT:C642	not determined	not applicable	not applicable	not applicable	not applicable	2	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_2PC-FA_MTX_2.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	2% formaldehyde	not applicable
HeLa_OneTip1000_2pc_MTX_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Methotrexate;AC=NCIT:C642	not determined	not applicable	not applicable	not applicable	not applicable	3	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_2PC-FA_MTX_3.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	2% formaldehyde	not applicable
HeLa_OneTip1000_2pc_MTX_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Methotrexate;AC=NCIT:C642	not determined	not applicable	not applicable	not applicable	not applicable	4	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_2PC-FA_MTX_4.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	2% formaldehyde	not applicable
HeLa_OneTip1000_4pc_DMSO_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	1	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_4PC-FA_DMSO_1.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	4% formaldehyde	not applicable
HeLa_OneTip1000_4pc_DMSO_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	2	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_4PC-FA_DMSO_2.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	4% formaldehyde	not applicable
HeLa_OneTip1000_4pc_DMSO_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	3	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_4PC-FA_DMSO_3.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	4% formaldehyde	not applicable
HeLa_OneTip1000_4pc_DMSO_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	4	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_4PC-FA_DMSO_4.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	4% formaldehyde	not applicable
HeLa_OneTip1000_4pc_MTX_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Methotrexate;AC=NCIT:C642	not determined	not applicable	not applicable	not applicable	not applicable	1	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_4PC-FA_MTX_1.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	4% formaldehyde	not applicable
HeLa_OneTip1000_4pc_MTX_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Methotrexate;AC=NCIT:C642	not determined	not applicable	not applicable	not applicable	not applicable	2	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_4PC-FA_MTX_2.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	4% formaldehyde	not applicable
HeLa_OneTip1000_4pc_MTX_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Methotrexate;AC=NCIT:C642	not determined	not applicable	not applicable	not applicable	not applicable	3	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_4PC-FA_MTX_3.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	4% formaldehyde	not applicable
HeLa_OneTip1000_4pc_MTX_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Methotrexate;AC=NCIT:C642	not determined	not applicable	not applicable	not applicable	not applicable	4	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_4PC-FA_MTX_4.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	4% formaldehyde	not applicable
HeLa_OneTip1000_NoFix_DMSO_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	1	run 25	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_NoFixation_DMSO_1.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	none	not applicable
HeLa_OneTip1000_NoFix_DMSO_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	2	run 26	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_NoFixation_DMSO_2.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	none	not applicable
HeLa_OneTip1000_NoFix_DMSO_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	3	run 27	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_NoFixation_DMSO_3.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	none	not applicable
HeLa_OneTip1000_NoFix_DMSO_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Dimethyl Sulfoxide;AC=NCIT:C437	not determined	not applicable	not applicable	not applicable	not applicable	4	run 28	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_NoFixation_DMSO_4.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	none	not applicable
HeLa_OneTip1000_NoFix_MTX_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Methotrexate;AC=NCIT:C642	not determined	not applicable	not applicable	not applicable	not applicable	1	run 29	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	1	1	20240909_AST5_Evo3_IP_80SPD_4Th6ms_nDIA_Prot_OneTip_1000cells_NoFixation_MTX_1.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	none	not applicable
